B/C row-gated bridge source verifier
arithmetic=exact modular Pieri plus GMP CRT stable_recurrence_values_checked=64
crt_primes=2305843009213694963,2305843009214695031,2305843009215694967,2305843009216695041,2305843009217694971
group=low prime_count=5 modulus_bits=306 max_degree=61
group=low degree=1/61 states=1 b_cap=9 c_cap=8
group=low degree=2/61 states=3 b_cap=9 c_cap=8
group=low degree=3/61 states=7 b_cap=9 c_cap=8
group=low degree=4/61 states=15 b_cap=9 c_cap=8
group=low degree=5/61 states=30 b_cap=9 c_cap=8
group=low degree=6/61 states=58 b_cap=9 c_cap=8
group=low degree=7/61 states=105 b_cap=9 c_cap=8
group=low degree=8/61 states=186 b_cap=9 c_cap=8
group=low degree=9/61 states=317 b_cap=9 c_cap=8
group=low degree=10/61 states=524 b_cap=9 c_cap=8
group=low degree=11/61 states=840 b_cap=9 c_cap=8
group=low degree=12/61 states=1312 b_cap=9 c_cap=8
group=low degree=13/61 states=1991 b_cap=9 c_cap=8
group=low degree=14/61 states=2952 b_cap=9 c_cap=8
group=low degree=15/61 states=4276 b_cap=9 c_cap=8
group=low degree=16/61 states=6065 b_cap=9 c_cap=8
group=low degree=17/61 states=8436 b_cap=9 c_cap=8
group=low degree=18/61 states=11534 b_cap=9 c_cap=8
group=low degree=19/61 states=15513 b_cap=9 c_cap=8
group=low degree=20/61 states=20571 b_cap=9 c_cap=8
group=low degree=21/61 states=26922 b_cap=9 c_cap=8
group=low degree=22/61 states=34825 b_cap=9 c_cap=8
group=low degree=23/61 states=44575 b_cap=9 c_cap=8
group=low degree=24/61 states=56525 b_cap=9 c_cap=8
group=low degree=25/61 states=71061 b_cap=9 c_cap=8
group=low degree=26/61 states=88659 b_cap=9 c_cap=8
group=low degree=27/61 states=109839 b_cap=9 c_cap=8
group=low degree=28/61 states=135211 b_cap=9 c_cap=8
group=low degree=29/61 states=165459 b_cap=9 c_cap=8
group=low degree=30/61 states=201378 b_cap=9 c_cap=8
group=low degree=31/61 states=243828 b_cap=9 c_cap=8
group=low degree=32/61 states=293824 b_cap=9 c_cap=8
group=low degree=33/61 states=352463 b_cap=9 c_cap=8
group=low degree=34/61 states=420995 b_cap=9 c_cap=8
group=low degree=35/61 states=500799 b_cap=9 c_cap=8
group=low degree=36/61 states=593434 b_cap=9 c_cap=8
group=low degree=37/61 states=700581 b_cap=9 c_cap=8
group=low degree=38/61 states=824166 b_cap=9 c_cap=8
group=low degree=39/61 states=966262 b_cap=9 c_cap=8
group=low degree=40/61 states=1129188 b_cap=9 c_cap=8
group=low degree=41/61 states=1315474 b_cap=9 c_cap=8
group=low degree=42/61 states=1527940 b_cap=9 c_cap=8
group=low degree=43/61 states=1769609 b_cap=9 c_cap=8
group=low degree=44/61 states=2043877 b_cap=9 c_cap=8
group=low degree=45/61 states=2354382 b_cap=9 c_cap=8
group=low degree=46/61 states=2705141 b_cap=9 c_cap=8
group=low degree=47/61 states=3100499 b_cap=9 c_cap=8
group=low degree=48/61 states=3545233 b_cap=9 c_cap=8
group=low degree=49/61 states=4044446 b_cap=9 c_cap=8
group=low degree=50/61 states=4603784 b_cap=9 c_cap=8
group=low degree=51/61 states=5229269 b_cap=9 c_cap=8
group=low degree=52/61 states=5927478 b_cap=9 c_cap=8
group=low degree=53/61 states=6705475 b_cap=9 c_cap=8
