m=27 reused B/C exact-window certificate
stable Chain diff D(27) = 42045445077102182205533040645398449053840308179888972401718533069918113097678848
certified rows: B_5..B_14 and C_5..C_14
delta logs:
  /tmp/ginibre_m25_eval/m24_BC3_14_range43.log
  /tmp/ginibre_m25_eval/m24_BC15.log
B_14 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -1381805938300186461978055054484933230078981387226765731968532749904; negative quadratic exact = 0; positive quadratic exact = 0; lower margin = 1613006634048936410602104185329364322878066440556968047760846221638785933222320
C_14 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -2194499937662159955906619953993819899668052671289927229498914496644880; negative quadratic exact = 0; positive quadratic exact = 0; lower margin = 1613006631855818278878244415884722423938731474118994357858145757871839969327344
B_13 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -306849173883536137646747882138333621636266369521899058794253653984672; negative quadratic exact = -391729654482739129185040614531152259331316960; positive quadratic exact = 2758739921403158162818637893589818694400; lower margin = 1613006633743469042656868234144594104067322009333054632748378035317831299364992
C_13 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -112647923195342627833244420276112577177929441231229470306605071027741712; negative quadratic exact = -3630877239152022317078364153581485120283597849390816; positive quadratic exact = 36244782228495812661422708087149649766554400000; lower margin = 1613006521402395021197776534916081107450180374591903067045204710131852143239696
B_12 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -40586238545042108198113818460532008460140424866189029797413759571382648; negative quadratic exact = -3663491089767591106124103433730916069869861493255096; positive quadratic exact = 161753481868543437666243107978296734760084130048; lower margin = 1613006593464079671498296170014194581114820350960184972336105416821893485464528
C_12 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -3900736925968438477015738500588710292715998144253652286042821960448150936; negative quadratic exact = -1588235595523834713666246841666310815101782761713263608728; positive quadratic exact = 98134498785440531952269139232658739507587551285626368; lower margin = 1613002733313392248100339218591816739949124363216375697339424669374632039838928
B_11 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -3177956775629765540544453546032113497199117030735007688564435639277746016; negative quadratic exact = -2321154523716487580075865628033982204690456928015028185046; positive quadratic exact = 49290642090543154079192825986296629108106313550625757610; lower margin = 1613003456093542586772591963456170401393057501867968608564802072320650785798772
C_11 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -91937666476604991909028524624703095122587778361421074094109601298889238040; negative quadratic exact = -58424306438758739479893693220224994311872577930680554293884476; positive quadratic exact = 1300764649279504413178383364864418073986324745773311655893742; lower margin = 1612914696383841554424953553787482608122118930648109370187725692862212938743450
B_10 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -144354782750491744402851006794623714080738119978152789984783026733390395168; negative quadratic exact = -210296498308685875042293741586771284655144122991298955498317088; positive quadratic exact = 20926076753883503181987215962929679548165268580800427696440392; lower margin = 1612862279267567535425579965982175893911945011825463769379233793845493273700360
C_10 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -1471033950346160587694056431338356142183735175051682875722875819844227436688; negative quadratic exact = -397338380146140319211057227457416169716502993656623576352847167968; positive quadratic exact = 43221477089738110031152493355268281358539295945933910386486205832; lower margin = 1611535600099617939049653913150824117056265490723637382574639421884943877573400
B_9 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -3670385065146431921885029618353916253491736676356782506420391287345832209920; negative quadratic exact = -3583424658280724753074641523224074646230161007048823888337214601142; positive quadratic exact = 949822312510386047922619466841503225025170411370339814237443049718; lower margin = 1609336248982538182272749003467836439622677065689485256045974112009308862210880
C_9 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -15733051534451833229190407507463817626621345699967160544273218534195609835152; negative quadratic exact = -687904417908687691763549179213623241179268522926257064174297303589222; positive quadratic exact = 208566500331335161946620931571390440618589992705506758156529779443066; lower margin = 1597273582036528465733861434466950312663697227526401338383049462818791331990916
B_8 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -49511562224228623832041368992299406387216620209956538014651139035432340871936; negative quadratic exact = -12546647719484328340776378581445171932406400066557028866242406360761248; positive quadratic exact = 6911837198267438289294269209602200006936807768801021040427264358743304; lower margin = 1563495066191279071491472951316933599702362828107498193377414022520180123082344
C_8 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -108886617867463898577146856919139447344422813648563838604795560148915032091696; negative quadratic exact = -349087527229100217856820860494283887930921334059363096874376006562906688; positive quadratic exact = 230472752687353126457084440018234630151225144941568524359002708070047804; lower margin = 1504119897568079776216166115135782454538870780442294072748704911848540941021644
B_7 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -329980123324915268171990226624523502631064163007824050076768618966483033239200; negative quadratic exact = -8825262561654035689128333013623003699480205727321103445672843529685203430; positive quadratic exact = 8833487660224848614890157835686633761590041526369579319078247736247519830; lower margin = 1283026518950501519181339906991640938931549320615022027547177773808477995049424
C_7 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -461209397158840685354828050678817596590446806232986174673648439019875727196880; negative quadratic exact = -53868555454048896982500444334659401491569307969159610498483962379722735170; positive quadratic exact = 67329011243710227517093033244626437410018927581777111541531670883291046550; lower margin = 1151810697347267192516110913701434748378023017173673471975467596059382307086724
B_6 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -1018619379885723464071721910323618063569881914556826507800122743855009973772704; negative quadratic exact = -1117423021560466693567964535494453528940802995230697836555159071444678450048; positive quadratic exact = 1904539556302170377619590004944996029265078350714577063569053393547729943504; lower margin = 595174370699336456152734086937174856862993734585704400574964137837847543692976
C_6 exact through m_43; tail = -40432438443051863988992636273607106675907756806101925372570460082547358631706624; linear exact = -1117207948876331273255678393581417995797312886331801307710710735846314939736944; negative quadratic exact = -2394957309467700500624111007053054600056323264594770779817704858804915402528; positive quadratic exact = 5167811488848251954170637675161369611783002886408533177179353329212770772904; lower margin = 498571539353367494738272504878032697146965167077059483834723899994847381605656
B_5 has active negative quadratic terms outside m_43: [(12, 45), (13, 44)]
