COMMAND: ./verify_character_ring_moment_sources_gmp B17 41 --stable-moments /home/yang/q3/ginibre_q3/references/oeis_A002137_stable.txt /home/yang/q3/ginibre_q3/certificates/classical_bridge/raw_logs/ginibre_m28_logs/bc/m28_BC17_rank_pair_exact41.rerun2.log /home/yang/q3/ginibre_q3/certificates/post_m29/m30_BC13_18_pair_range_exact39.log
power=1 support=1 elapsed_seconds=5.0074e-05
power=2 support=6 elapsed_seconds=4.5787e-05
power=3 support=14 elapsed_seconds=0.000255381
power=4 support=32 elapsed_seconds=0.000613485
power=5 support=66 elapsed_seconds=0.00129541
power=6 support=132 elapsed_seconds=0.00297112
power=7 support=248 elapsed_seconds=0.005648
power=8 support=453 elapsed_seconds=0.0110276
power=9 support=797 elapsed_seconds=0.0200295
power=10 support=1368 elapsed_seconds=0.0353166
power=11 support=2287 elapsed_seconds=0.0635969
power=12 support=3750 elapsed_seconds=0.105709
power=13 support=6026 elapsed_seconds=0.174982
power=14 support=9531 elapsed_seconds=0.283836
power=15 support=14840 elapsed_seconds=0.4588
power=16 support=22800 elapsed_seconds=0.744786
power=17 support=34584 elapsed_seconds=1.21409
power=18 support=51856 elapsed_seconds=1.9782
power=19 support=76887 elapsed_seconds=3.13151
power=20 support=112838 elapsed_seconds=4.66477
power=21 support=163964 elapsed_seconds=6.99842
root_datum=B_17 rank=17 roots=578 maximum_coordinate=21
SUMMARY group=B_17 moments=42 source_values=6 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=101
