COMMAND: ./verify_character_ring_moment_sources_gmp C18 39 --stable-moments /home/yang/q3/ginibre_q3/references/oeis_A002137_stable.txt /home/yang/q3/ginibre_q3/certificates/post_m29/m30_BC13_18_pair_range_exact39.log
power=1 support=1 elapsed_seconds=5.6687e-05
power=2 support=6 elapsed_seconds=4.282e-05
power=3 support=14 elapsed_seconds=0.000242747
power=4 support=32 elapsed_seconds=0.000581675
power=5 support=66 elapsed_seconds=0.00143093
power=6 support=132 elapsed_seconds=0.00291437
power=7 support=248 elapsed_seconds=0.0061262
power=8 support=453 elapsed_seconds=0.0118428
power=9 support=797 elapsed_seconds=0.0231766
power=10 support=1368 elapsed_seconds=0.0386909
power=11 support=2287 elapsed_seconds=0.0687421
power=12 support=3750 elapsed_seconds=0.115701
power=13 support=6026 elapsed_seconds=0.189812
power=14 support=9531 elapsed_seconds=0.316608
power=15 support=14840 elapsed_seconds=0.502158
power=16 support=22800 elapsed_seconds=0.796226
power=17 support=34584 elapsed_seconds=1.38651
power=18 support=51875 elapsed_seconds=2.14052
power=19 support=75803 elapsed_seconds=3.2566
power=20 support=109637 elapsed_seconds=4.68254
root_datum=C_18 rank=18 roots=648 maximum_coordinate=40
SUMMARY group=C_18 moments=40 source_values=2 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=101
