COMMAND: ./verify_character_ring_moment_sources_gmp G2 200 /home/yang/q3/ginibre_q3/character_ring_iter/logs/g2_200.log
power=1 support=1 elapsed_seconds=9.188e-06
power=2 support=5 elapsed_seconds=3.987e-06
power=3 support=11 elapsed_seconds=8.366e-06
power=4 support=18 elapsed_seconds=1.5118e-05
power=5 support=26 elapsed_seconds=2.8383e-05
power=6 support=36 elapsed_seconds=3.4424e-05
power=7 support=47 elapsed_seconds=5.0805e-05
power=8 support=60 elapsed_seconds=6.4311e-05
power=9 support=74 elapsed_seconds=8.0561e-05
power=10 support=90 elapsed_seconds=9.4919e-05
power=11 support=107 elapsed_seconds=0.000129524
power=12 support=126 elapsed_seconds=0.000142689
power=13 support=146 elapsed_seconds=0.000175851
power=14 support=168 elapsed_seconds=0.000188505
power=15 support=191 elapsed_seconds=0.000211769
power=16 support=216 elapsed_seconds=0.000256323
power=17 support=242 elapsed_seconds=0.000292951
power=18 support=270 elapsed_seconds=0.000314542
power=19 support=299 elapsed_seconds=0.000352494
power=20 support=330 elapsed_seconds=0.000390876
power=21 support=362 elapsed_seconds=0.000436342
power=22 support=396 elapsed_seconds=0.000472399
power=23 support=431 elapsed_seconds=0.000529427
power=24 support=468 elapsed_seconds=0.000583278
power=25 support=506 elapsed_seconds=0.000606552
power=26 support=546 elapsed_seconds=0.000734462
power=27 support=587 elapsed_seconds=0.000737639
power=28 support=630 elapsed_seconds=0.000770661
power=29 support=674 elapsed_seconds=0.00085504
power=30 support=720 elapsed_seconds=0.000890977
power=31 support=767 elapsed_seconds=0.000985294
power=32 support=816 elapsed_seconds=0.00101659
power=33 support=866 elapsed_seconds=0.00111251
power=34 support=918 elapsed_seconds=0.00108257
power=35 support=971 elapsed_seconds=0.000989873
power=36 support=1026 elapsed_seconds=0.00102574
power=37 support=1082 elapsed_seconds=0.00108774
power=38 support=1140 elapsed_seconds=0.00116477
power=39 support=1199 elapsed_seconds=0.00122426
power=40 support=1260 elapsed_seconds=0.00129118
power=41 support=1322 elapsed_seconds=0.00137594
power=42 support=1386 elapsed_seconds=0.00154809
power=43 support=1451 elapsed_seconds=0.00155739
power=44 support=1518 elapsed_seconds=0.00168154
power=45 support=1586 elapsed_seconds=0.0017373
power=46 support=1656 elapsed_seconds=0.00182123
power=47 support=1727 elapsed_seconds=0.00184723
power=48 support=1800 elapsed_seconds=0.00190971
power=49 support=1874 elapsed_seconds=0.00203822
power=50 support=1950 elapsed_seconds=0.00215296
power=51 support=2027 elapsed_seconds=0.00223861
power=52 support=2106 elapsed_seconds=0.00236844
power=53 support=2186 elapsed_seconds=0.00238112
power=54 support=2268 elapsed_seconds=0.00247061
power=55 support=2351 elapsed_seconds=0.00258293
power=56 support=2436 elapsed_seconds=0.00268479
power=57 support=2522 elapsed_seconds=0.00286809
power=58 support=2610 elapsed_seconds=0.00306673
power=59 support=2699 elapsed_seconds=0.00309751
power=60 support=2790 elapsed_seconds=0.00322329
power=61 support=2882 elapsed_seconds=0.00326313
power=62 support=2976 elapsed_seconds=0.00357368
power=63 support=3071 elapsed_seconds=0.00367304
power=64 support=3168 elapsed_seconds=0.00381029
power=65 support=3266 elapsed_seconds=0.00387763
power=66 support=3366 elapsed_seconds=0.00397163
power=67 support=3467 elapsed_seconds=0.0041504
power=68 support=3570 elapsed_seconds=0.00411586
power=69 support=3674 elapsed_seconds=0.00419816
power=70 support=3780 elapsed_seconds=0.00447913
power=71 support=3887 elapsed_seconds=0.0046696
power=72 support=3996 elapsed_seconds=0.0045877
power=73 support=4106 elapsed_seconds=0.00475466
power=74 support=4218 elapsed_seconds=0.00500489
power=75 support=4331 elapsed_seconds=0.00519124
power=76 support=4446 elapsed_seconds=0.00538677
power=77 support=4562 elapsed_seconds=0.00555569
power=78 support=4680 elapsed_seconds=0.00572588
power=79 support=4799 elapsed_seconds=0.00588628
power=80 support=4920 elapsed_seconds=0.00603998
power=81 support=5042 elapsed_seconds=0.00622922
power=82 support=5166 elapsed_seconds=0.00640237
power=83 support=5291 elapsed_seconds=0.00680142
power=84 support=5418 elapsed_seconds=0.0068284
power=85 support=5546 elapsed_seconds=0.00697158
power=86 support=5676 elapsed_seconds=0.00748142
power=87 support=5807 elapsed_seconds=0.0112414
power=88 support=5940 elapsed_seconds=0.00931165
power=89 support=6074 elapsed_seconds=0.00819718
power=90 support=6210 elapsed_seconds=0.00797464
power=91 support=6347 elapsed_seconds=0.00799819
power=92 support=6486 elapsed_seconds=0.00825333
power=93 support=6626 elapsed_seconds=0.00842641
power=94 support=6768 elapsed_seconds=0.00850879
power=95 support=6911 elapsed_seconds=0.00879569
power=96 support=7056 elapsed_seconds=0.00997874
power=97 support=7202 elapsed_seconds=0.00999291
power=98 support=7350 elapsed_seconds=0.00926326
power=99 support=7499 elapsed_seconds=0.00971422
power=100 support=7650 elapsed_seconds=0.00965695
root_datum=G2 rank=2 roots=12 maximum_coordinate=150
SUMMARY group=G2 moments=201 source_values=201 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=0
