COMMAND: ./verify_character_ring_moment_sources_gmp F4 220 /home/yang/q3/ginibre_q3/character_ring_iter/logs/f4_220c.log
power=1 support=1 elapsed_seconds=1.8635e-05
power=2 support=5 elapsed_seconds=1.0269e-05
power=3 support=11 elapsed_seconds=1.7893e-05
power=4 support=26 elapsed_seconds=3.7541e-05
power=5 support=47 elapsed_seconds=9.6391e-05
power=6 support=81 elapsed_seconds=0.00017542
power=7 support=127 elapsed_seconds=0.000299544
power=8 support=190 elapsed_seconds=0.000466057
power=9 support=273 elapsed_seconds=0.000726918
power=10 support=380 elapsed_seconds=0.00107015
power=11 support=515 elapsed_seconds=0.00152519
power=12 support=683 elapsed_seconds=0.00209382
power=13 support=888 elapsed_seconds=0.0027966
power=14 support=1136 elapsed_seconds=0.00375516
power=15 support=1432 elapsed_seconds=0.00479723
power=16 support=1782 elapsed_seconds=0.00617508
power=17 support=2192 elapsed_seconds=0.00775254
power=18 support=2669 elapsed_seconds=0.00962215
power=19 support=3219 elapsed_seconds=0.011983
power=20 support=3850 elapsed_seconds=0.014991
power=21 support=4569 elapsed_seconds=0.0180738
power=22 support=5384 elapsed_seconds=0.0218457
power=23 support=6303 elapsed_seconds=0.0263359
power=24 support=7335 elapsed_seconds=0.0310544
power=25 support=8488 elapsed_seconds=0.036232
power=26 support=9772 elapsed_seconds=0.042455
power=27 support=11196 elapsed_seconds=0.0490671
power=28 support=12770 elapsed_seconds=0.0579109
power=29 support=14504 elapsed_seconds=0.0661124
power=30 support=16409 elapsed_seconds=0.0734833
power=31 support=18495 elapsed_seconds=0.0846151
power=32 support=20774 elapsed_seconds=0.0973986
power=33 support=23257 elapsed_seconds=0.11004
power=34 support=25956 elapsed_seconds=0.125232
power=35 support=28883 elapsed_seconds=0.142305
power=36 support=32051 elapsed_seconds=0.154308
power=37 support=35472 elapsed_seconds=0.172605
power=38 support=39160 elapsed_seconds=0.193101
power=39 support=43128 elapsed_seconds=0.218535
power=40 support=47390 elapsed_seconds=0.248785
power=41 support=51960 elapsed_seconds=0.270964
power=42 support=56853 elapsed_seconds=0.296883
power=43 support=62083 elapsed_seconds=0.321588
power=44 support=67666 elapsed_seconds=0.357578
power=45 support=73617 elapsed_seconds=0.394335
power=46 support=79952 elapsed_seconds=0.436254
power=47 support=86687 elapsed_seconds=0.467109
power=48 support=93839 elapsed_seconds=0.511831
power=49 support=101424 elapsed_seconds=0.553371
power=50 support=109460 elapsed_seconds=0.601628
power=51 support=117964 elapsed_seconds=0.651704
power=52 support=126954 elapsed_seconds=0.697277
power=53 support=136448 elapsed_seconds=0.781917
power=54 support=146465 elapsed_seconds=0.806254
power=55 support=157023 elapsed_seconds=0.862676
power=56 support=168142 elapsed_seconds=0.924145
power=57 support=179841 elapsed_seconds=1.00624
power=58 support=192140 elapsed_seconds=0.928111
power=59 support=205059 elapsed_seconds=1.2291
power=60 support=218619 elapsed_seconds=1.26318
power=61 support=232840 elapsed_seconds=1.40527
power=62 support=247744 elapsed_seconds=1.53329
power=63 support=263352 elapsed_seconds=1.67748
power=64 support=279686 elapsed_seconds=1.78648
power=65 support=296768 elapsed_seconds=1.89116
power=66 support=314621 elapsed_seconds=2.07127
power=67 support=333267 elapsed_seconds=2.20283
power=68 support=352730 elapsed_seconds=1.97561
power=69 support=373033 elapsed_seconds=2.06091
power=70 support=394200 elapsed_seconds=2.65285
power=71 support=416255 elapsed_seconds=3.17128
power=72 support=439223 elapsed_seconds=3.27526
power=73 support=463128 elapsed_seconds=2.99234
power=74 support=487996 elapsed_seconds=3.17716
power=75 support=513852 elapsed_seconds=3.29293
power=76 support=540722 elapsed_seconds=3.43229
power=77 support=568632 elapsed_seconds=3.55725
power=78 support=597609 elapsed_seconds=4.08779
power=79 support=627679 elapsed_seconds=4.50686
power=80 support=658870 elapsed_seconds=4.68592
power=81 support=691209 elapsed_seconds=4.58696
power=82 support=724724 elapsed_seconds=5.49376
power=83 support=759443 elapsed_seconds=6.08627
power=84 support=795395 elapsed_seconds=6.28002
power=85 support=832608 elapsed_seconds=5.72083
power=86 support=871112 elapsed_seconds=5.96352
power=87 support=910936 elapsed_seconds=6.92413
power=88 support=952110 elapsed_seconds=6.27654
power=89 support=994664 elapsed_seconds=6.15015
power=90 support=1038629 elapsed_seconds=7.30094
power=91 support=1084035 elapsed_seconds=8.91929
power=92 support=1130914 elapsed_seconds=10.953
power=93 support=1179297 elapsed_seconds=9.13995
power=94 support=1229216 elapsed_seconds=7.47217
power=95 support=1280703 elapsed_seconds=8.57595
power=96 support=1333791 elapsed_seconds=9.78479
power=97 support=1388512 elapsed_seconds=12.1661
power=98 support=1444900 elapsed_seconds=10.4393
power=99 support=1502988 elapsed_seconds=10.1671
power=100 support=1562810 elapsed_seconds=11.5194
power=101 support=1624400 elapsed_seconds=11.9428
power=102 support=1687793 elapsed_seconds=13.1116
power=103 support=1753023 elapsed_seconds=12.8966
power=104 support=1820126 elapsed_seconds=13.6019
power=105 support=1889137 elapsed_seconds=14.5752
power=106 support=1960092 elapsed_seconds=16.3457
power=107 support=2033027 elapsed_seconds=18.859
power=108 support=2107979 elapsed_seconds=18.2604
power=109 support=2184984 elapsed_seconds=17.4253
power=110 support=2264080 elapsed_seconds=19.8268
root_datum=F4 rank=4 roots=48 maximum_coordinate=110
SUMMARY group=F4 moments=221 source_values=221 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=0
