COMMAND: ./verify_character_ring_moment_sources_gmp E8 100 /home/yang/q3/ginibre_q3/character_ring_iter/logs/e8_70.log /home/yang/q3/ginibre_q3/references/arxiv_2412_21189_e8_m71_m100.txt
power=1 support=1 elapsed_seconds=1.6661e-05
power=2 support=5 elapsed_seconds=1.055e-05
power=3 support=10 elapsed_seconds=4.2009e-05
power=4 support=20 elapsed_seconds=8.6002e-05
power=5 support=35 elapsed_seconds=0.000174178
power=6 support=62 elapsed_seconds=0.000319641
power=7 support=102 elapsed_seconds=0.000603436
power=8 support=165 elapsed_seconds=0.00104592
power=9 support=256 elapsed_seconds=0.00173753
power=10 support=390 elapsed_seconds=0.00280836
power=11 support=578 elapsed_seconds=0.00442581
power=12 support=843 elapsed_seconds=0.00684649
power=13 support=1203 elapsed_seconds=0.0101482
power=14 support=1694 elapsed_seconds=0.0151092
power=15 support=2345 elapsed_seconds=0.0218405
power=16 support=3208 elapsed_seconds=0.0313084
power=17 support=4328 elapsed_seconds=0.0444793
power=18 support=5780 elapsed_seconds=0.0622512
power=19 support=7631 elapsed_seconds=0.0855616
power=20 support=9984 elapsed_seconds=0.117602
power=21 support=12937 elapsed_seconds=0.159514
power=22 support=16630 elapsed_seconds=0.213909
power=23 support=21200 elapsed_seconds=0.284816
power=24 support=26836 elapsed_seconds=0.373856
power=25 support=33724 elapsed_seconds=0.487825
power=26 support=42114 elapsed_seconds=0.636323
power=27 support=52257 elapsed_seconds=0.806145
power=28 support=64477 elapsed_seconds=1.02944
power=29 support=79104 elapsed_seconds=1.28484
power=30 support=96557 elapsed_seconds=1.59691
power=31 support=117263 elapsed_seconds=2.01238
power=32 support=141754 elapsed_seconds=2.55483
power=33 support=170577 elapsed_seconds=3.12389
power=34 support=204401 elapsed_seconds=3.92027
power=35 support=243918 elapsed_seconds=5.21133
power=36 support=289961 elapsed_seconds=5.61235
power=37 support=343394 elapsed_seconds=7.06837
power=38 support=405246 elapsed_seconds=8.68332
power=39 support=476588 elapsed_seconds=9.86154
power=40 support=558677 elapsed_seconds=12.0858
power=41 support=652827 elapsed_seconds=16.0239
power=42 support=760567 elapsed_seconds=17.1449
power=43 support=883494 elapsed_seconds=19.6384
power=44 support=1023451 elapsed_seconds=22.4466
power=45 support=1182367 elapsed_seconds=30.3804
power=46 support=1362450 elapsed_seconds=34.0003
power=47 support=1566012 elapsed_seconds=37.206
power=48 support=1795682 elapsed_seconds=46.8033
power=49 support=2054213 elapsed_seconds=51.0775
power=50 support=2344716 elapsed_seconds=61.4944
root_datum=E8 rank=8 roots=240 maximum_coordinate=50
SUMMARY group=E8 moments=101 source_values=101 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=0
