COMMAND: /usr/bin/python3 verify_chain.py G2 /home/yang/q3/ginibre_q3/character_ring_iter/logs/g2_200.log /home/yang/q3/ginibre_q3/references
G2: 201 moments read from /home/yang/q3/ginibre_q3/character_ring_iter/logs/g2_200.log (m_0..m_200)
  OEIS overlap: m_0..m_25; 0 mismatches.
  NEW beyond OEIS: m_26..m_200 (175 new values).
Chain m verifiable up to m = 97:
  m=  0: Q_3(3) - 4*Q_3(1) = 20 [OK]
  m=  5: Q_3(13) - 4*Q_3(11) = 26810287984 [OK]
  m= 10: Q_3(23) - 4*Q_3(21) = 2181856049369165745420 [OK]
  m= 15: Q_3(33) - 4*Q_3(31) = 2701622987893951048542665585021040 [OK]
  m= 20: Q_3(43) - 4*Q_3(41) = 17071693160894290694623721610609869924481551028 [OK]
  m= 25: Q_3(53) - 4*Q_3(51) = 238800544290567940659502291150463491778384655925465839837380 [OK]
  m= 30: Q_3(63) - 4*Q_3(61) = 5487356313166015154332536518972027127568061720301305575737841143072060224 [OK]
  m= 35: Q_3(73) - 4*Q_3(71) = 179720737718636140676750368190694466021742410681316054244320242896953897056770835440400 [OK]
  m= 40: Q_3(83) - 4*Q_3(81) = 7691632426245487714466800789263838635142921326826144146811968352415318988698345988089019618593993640 [OK]
  m= 45: Q_3(93) - 4*Q_3(91) = 405840528416321713228611422077545086048097000501299272143010212305120238908413169336218984844908886737175317027756 [OK]
  m= 50: Q_3(103) - 4*Q_3(101) = 25339750240378426626251905677605884101067741616229630166993773432640517921654980778516977351062845393342597582022013790177970040 [OK]
  m= 55: Q_3(113) - 4*Q_3(111) = 1816895490606052191843575145599044437983850333460372455373964248821120093588738415446538418375571355843157518361205899135994832159539446371012 [OK]
  m= 60: Q_3(123) - 4*Q_3(121) = 146256008645853414290944429626231112282341025261531539471950554970066742821704956995057094141689447905710845070769833546206551035050329644976904673880183436 [OK]
  m= 65: Q_3(133) - 4*Q_3(131) = 12988547959957891129634082322596499504521050273275156868087209090466627426400134570246845380146608803301702950688893572150507481729417827747179933402119747348620720498000 [OK]
  m= 70: Q_3(143) - 4*Q_3(141) = 1255104327743175593576182738153485054592273551196647906117887403582683316017172799728860824789153105566818711091184500589921754045527410627579031321590638925587142071428842722533392256 [OK]
  m= 75: Q_3(153) - 4*Q_3(151) = 130515211499898897007596626755174397087587706290175612132476060897080560443140567520661110060389385557806314270214437863247622154083060016154741707262649138246238710162043281719357556049892071823920 [OK]
  m= 80: Q_3(163) - 4*Q_3(161) = 14473827233184509708406674628638637195612297902454354151219416489156627127936084828437950034715912132510866586890021599318968575168409419396790344318099236173695339200325762600655518499454151763123245976848003328 [OK]
  m= 85: Q_3(173) - 4*Q_3(171) = 1699057069614918525677578604652804145465733575358936209207555756591755419727507415625686944519389508914713794004128276161676596182650469109086107852038786732166716239480255551426772260504086855427244767879365751255501797145656 [OK]
  m= 90: Q_3(183) - 4*Q_3(181) = 209811326544962508499671239728152502991407559658129503655215021755243861268997211694369674251927462116030255711189647844376544256153247641557043741415850195543451467179173811243542782544450436272525596762982925965339644612331858098589383800 [OK]
  m= 95: Q_3(193) - 4*Q_3(191) = 27112038158276344501163022819675290831512440771301404715200565314473259078896362640603991616497237420122463127785463467303496250237579458812631012628101763120728666833452251813932811817508576824511049661089798392189432457284322119186085635028737377132112 [OK]
  m= 97: Q_3(197) - 4*Q_3(195) = 12099550886855903196047592996807092662435935457545365709672336564545966817969508954339707109898529226483225417223744611421797560931996992558050743693230270800557950799091922938031465634002594284740923431931810229476088342240996974393182299155750062642524560784 [OK]
Chain verification: ALL PASS
