COMMAND: ./verify_character_ring_moment_sources_gmp D4 59 --stable-moments /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/references/oeis_A002137_stable.txt /tmp/ginibre-q3-clean-room-jb3u4pkg/replay-logs/14_d4_modular_weyl_exact_moments.log
power=1 support=1 elapsed_seconds=4.168e-06
power=2 support=7 elapsed_seconds=1.432e-06
power=3 support=15 elapsed_seconds=4.969e-06
power=4 support=30 elapsed_seconds=9.718e-06
power=5 support=54 elapsed_seconds=1.8334e-05
power=6 support=91 elapsed_seconds=3.8783e-05
power=7 support=143 elapsed_seconds=6.4821e-05
power=8 support=217 elapsed_seconds=9.8774e-05
power=9 support=315 elapsed_seconds=0.000149098
power=10 support=444 elapsed_seconds=0.000235248
power=11 support=609 elapsed_seconds=0.000319485
power=12 support=817 elapsed_seconds=0.000441532
power=13 support=1073 elapsed_seconds=0.000621888
power=14 support=1387 elapsed_seconds=0.00079976
power=15 support=1764 elapsed_seconds=0.00105802
power=16 support=2214 elapsed_seconds=0.00132707
power=17 support=2745 elapsed_seconds=0.00173452
power=18 support=3367 elapsed_seconds=0.00225444
power=19 support=4088 elapsed_seconds=0.00266015
power=20 support=4921 elapsed_seconds=0.00336861
power=21 support=5874 elapsed_seconds=0.00421453
power=22 support=6960 elapsed_seconds=0.00516022
power=23 support=8190 elapsed_seconds=0.00580022
power=24 support=9577 elapsed_seconds=0.00694331
power=25 support=11132 elapsed_seconds=0.00825139
power=26 support=12871 elapsed_seconds=0.00989036
power=27 support=14805 elapsed_seconds=0.0117065
power=28 support=16950 elapsed_seconds=0.0125904
power=29 support=19320 elapsed_seconds=0.0146297
power=30 support=21931 elapsed_seconds=0.0167737
root_datum=D_4 rank=4 roots=24 maximum_coordinate=30
SUMMARY group=D_4 moments=60 source_values=120 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=101
