COMMAND: ./verify_character_ring_moment_sources_gmp D16 38 --stable-moments /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/references/oeis_A002137_stable.txt /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/certificates/post_m29/d4_24_exact_adjoint_sources/d12_17_exact_adjoint_m12_24.log /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/certificates/post_m29/d4_24_exact_adjoint_sources/d12_17_exact_adjoint_m25_31.log /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/certificates/post_m29/d4_24_exact_adjoint_sources/d12_17_exact_adjoint_m32_34.log /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/certificates/post_m29/d4_24_exact_adjoint_sources/d12_17_exact_adjoint_m35_36.log /tmp/ginibre-q3-clean-room-jb3u4pkg/ginibre_q3/certificates/post_m29/d4_24_exact_adjoint_sources/d12_17_exact_adjoint_m37_38.log
power=1 support=1 elapsed_seconds=1.3835e-05
power=2 support=6 elapsed_seconds=1.04e-05
power=3 support=14 elapsed_seconds=5.4392e-05
power=4 support=32 elapsed_seconds=0.000121937
power=5 support=66 elapsed_seconds=0.000279871
power=6 support=132 elapsed_seconds=0.000604406
power=7 support=248 elapsed_seconds=0.00121354
power=8 support=454 elapsed_seconds=0.00234318
power=9 support=798 elapsed_seconds=0.00436638
power=10 support=1367 elapsed_seconds=0.00788629
power=11 support=2278 elapsed_seconds=0.0136031
power=12 support=3718 elapsed_seconds=0.0231534
power=13 support=5939 elapsed_seconds=0.0384492
power=14 support=9326 elapsed_seconds=0.0630367
power=15 support=14397 elapsed_seconds=0.100541
power=16 support=21903 elapsed_seconds=0.15798
power=17 support=32858 elapsed_seconds=0.24598
power=18 support=48683 elapsed_seconds=0.376205
power=19 support=71274 elapsed_seconds=0.575079
root_datum=D_16 rank=16 roots=480 maximum_coordinate=19
SUMMARY group=D_16 moments=39 source_values=46 failures=0 ignored_determinant_components=0 stable_recurrence_values_checked=101
