COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
B_14	925	0.070493911994488036832934	957	2.65547701250731817690789	308	96.35421307689758352
B_15	415	0.435869756269281829709276	447	7.53720588338675256005537	330	133.35421307689758352
B_16	329	0.58916269843200197640727	361	11.416121389411345445627	352	174.35421307689758352
B_17	303	0.8235995778607708007052	335	14.8413913604364938844836	374	219.35421307689758352
B_18	297	0.878172803903920457268493	329	17.6979625949969187110097	396	268.35421307689758352
B_19	301	1.01574987559691502420574	333	20.3403582294819499326509	418	321.35421307689758352
B_20	309	0.0061301728071582916875791	341	21.6000049672246974983487	440	378.35421307689758352
B_21	323	0.381145724693493931687109	355	24.0523395910352541938193	462	439.35421307689758352
B_22	339	0.180694309083276323957008	371	25.7693556219408727629979	484	504.35421307689758352
B_23	359	1.45074082041248085850702	391	28.8213974960202367640767	506	573.35421307689758352
B_24	379	1.18419736924940326053368	411	30.2203764728309815227205	528	646.35421307689758352
B_25	401	1.21016657908064973346215	433	31.8105194847652726972438	550	723.35421307689758352
B_26	425	1.75918239451267433473103	457	33.8346177202973131240481	572	804.35421307689758352
B_27	449	0.906489075876291008508405	481	34.3780020284243098687672	594	889.35421307689758352
B_28	475	0.759347852806588811235325	507	35.5563440945385138856474	616	978.35421307689758352
B_29	503	1.45691196761316530354537	535	37.5158910016141338091024	638	1071.35421307689758352
B_30	531	0.828832014204976992027496	563	38.0923373572085789487807	660	1168.35421307689758352
B_31	561	1.16922273633590275878057	593	39.584993674450717435839	682	1269.35421307689758352
B_32	591	0.150460315632600032295202	623	39.6707384313707924320869	704	1374.35421307689758352
B_33	623	0.205744741578264015948666	655	40.7867009801708183787429	726	1483.35421307689758352
B_34	657	1.46488998732272772743102	689	43.066146812443618625554	748	1596.35421307689758352
