COMMAND: ./post_m29_bc_interval_bridge_frontier_gmp --onset-log /tmp/ginibre-q3-clean-room-jb3u4pkg/replay-logs/46_bc_interval_formula_mpfr.log --lambda-num 1 --lambda-den 2 --progress --progress-step 100
ENV: OMP_NUM_THREADS=32
B/C interval stable-envelope bridge frontier GMP verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 chain_lo=31 chain_hi=15447 max_index=30899 lambda=1/2 onset_log=/tmp/ginibre-q3-clean-room-jb3u4pkg/replay-logs/46_bc_interval_formula_mpfr.log OpenMP threads=32
SIGN_MODEL corrections_delta<=0 active from boundary=2*rank+2; frontier lower bound uses |delta_j|<=lambda*s_j with positive linear and negative quadratic coefficients
stable_moments_start max_index=30899
stable_moments_done max_index=30899
progress completed=100/15417 last_m=134
progress completed=200/15417 last_m=239
progress completed=300/15417 last_m=329
progress completed=400/15417 last_m=431
progress completed=500/15417 last_m=531
progress completed=600/15417 last_m=629
progress completed=700/15417 last_m=732
progress completed=800/15417 last_m=831
progress completed=900/15417 last_m=918
progress completed=1000/15417 last_m=1015
progress completed=1100/15417 last_m=1128
progress completed=1200/15417 last_m=1219
progress completed=1300/15417 last_m=1327
progress completed=1400/15417 last_m=1436
progress completed=1500/15417 last_m=1528
progress completed=1600/15417 last_m=1618
progress completed=1700/15417 last_m=1720
progress completed=1800/15417 last_m=1820
progress completed=1900/15417 last_m=1942
progress completed=2000/15417 last_m=2029
progress completed=2100/15417 last_m=2143
progress completed=2200/15417 last_m=2227
progress completed=2300/15417 last_m=2327
progress completed=2400/15417 last_m=2428
progress completed=2500/15417 last_m=2531
progress completed=2600/15417 last_m=2640
progress completed=2700/15417 last_m=2730
progress completed=2800/15417 last_m=2832
progress completed=2900/15417 last_m=2933
progress completed=3000/15417 last_m=3031
progress completed=3100/15417 last_m=3128
progress completed=3200/15417 last_m=3239
progress completed=3300/15417 last_m=3335
progress completed=3400/15417 last_m=3429
progress completed=3500/15417 last_m=3531
progress completed=3600/15417 last_m=3631
progress completed=3700/15417 last_m=3728
progress completed=3800/15417 last_m=3841
progress completed=3900/15417 last_m=3929
progress completed=4000/15417 last_m=4030
progress completed=4100/15417 last_m=4130
progress completed=4200/15417 last_m=4224
progress completed=4300/15417 last_m=4329
progress completed=4400/15417 last_m=4431
progress completed=4500/15417 last_m=4542
progress completed=4600/15417 last_m=4630
progress completed=4700/15417 last_m=4730
progress completed=4800/15417 last_m=4833
progress completed=4900/15417 last_m=4927
progress completed=5000/15417 last_m=5030
progress completed=5100/15417 last_m=5131
progress completed=5200/15417 last_m=5232
progress completed=5300/15417 last_m=5332
progress completed=5400/15417 last_m=5427
progress completed=5500/15417 last_m=5528
progress completed=5600/15417 last_m=5622
progress completed=5700/15417 last_m=5730
progress completed=5800/15417 last_m=5826
progress completed=5900/15417 last_m=5931
progress completed=6000/15417 last_m=6019
progress completed=6100/15417 last_m=6126
progress completed=6200/15417 last_m=6229
progress completed=6300/15417 last_m=6324
progress completed=6400/15417 last_m=6430
progress completed=6500/15417 last_m=6531
progress completed=6600/15417 last_m=6627
progress completed=6700/15417 last_m=6742
progress completed=6800/15417 last_m=6842
progress completed=6900/15417 last_m=6937
progress completed=7000/15417 last_m=7017
progress completed=7100/15417 last_m=7132
progress completed=7200/15417 last_m=7217
progress completed=7300/15417 last_m=7331
progress completed=7400/15417 last_m=7433
progress completed=7500/15417 last_m=7539
progress completed=7600/15417 last_m=7616
progress completed=7700/15417 last_m=7718
progress completed=7800/15417 last_m=7844
progress completed=7900/15417 last_m=7933
progress completed=8000/15417 last_m=8035
progress completed=8100/15417 last_m=8123
progress completed=8200/15417 last_m=8234
progress completed=8300/15417 last_m=8320
progress completed=8400/15417 last_m=8444
progress completed=8500/15417 last_m=8537
progress completed=8600/15417 last_m=8642
progress completed=8700/15417 last_m=8730
progress completed=8800/15417 last_m=8835
progress completed=8900/15417 last_m=8941
progress completed=9000/15417 last_m=9028
progress completed=9100/15417 last_m=9130
progress completed=9200/15417 last_m=9238
progress completed=9300/15417 last_m=9329
progress completed=9400/15417 last_m=9431
progress completed=9500/15417 last_m=9532
progress completed=9600/15417 last_m=9630
progress completed=9700/15417 last_m=9728
progress completed=9800/15417 last_m=9830
progress completed=9900/15417 last_m=9929
progress completed=10000/15417 last_m=10025
progress completed=10100/15417 last_m=10128
progress completed=10200/15417 last_m=10230
progress completed=10300/15417 last_m=10330
progress completed=10400/15417 last_m=10431
progress completed=10500/15417 last_m=10544
progress completed=10600/15417 last_m=10630
progress completed=10700/15417 last_m=10733
progress completed=10800/15417 last_m=10834
progress completed=10900/15417 last_m=10930
progress completed=11000/15417 last_m=11027
progress completed=11100/15417 last_m=11128
progress completed=11200/15417 last_m=11231
progress completed=11300/15417 last_m=11330
progress completed=11400/15417 last_m=11428
progress completed=11500/15417 last_m=11532
progress completed=11600/15417 last_m=11631
progress completed=11700/15417 last_m=11732
progress completed=11800/15417 last_m=11830
progress completed=11900/15417 last_m=11930
progress completed=12000/15417 last_m=12030
progress completed=12100/15417 last_m=12130
progress completed=12200/15417 last_m=12227
progress completed=12300/15417 last_m=12330
progress completed=12400/15417 last_m=12427
progress completed=12500/15417 last_m=12523
progress completed=12600/15417 last_m=12627
progress completed=12700/15417 last_m=12730
progress completed=12800/15417 last_m=12829
progress completed=12900/15417 last_m=12932
progress completed=13000/15417 last_m=13030
progress completed=13100/15417 last_m=13129
progress completed=13200/15417 last_m=13231
progress completed=13300/15417 last_m=13330
progress completed=13400/15417 last_m=13430
progress completed=13500/15417 last_m=13529
progress completed=13600/15417 last_m=13627
progress completed=13700/15417 last_m=13727
progress completed=13800/15417 last_m=13827
progress completed=13900/15417 last_m=13936
progress completed=14000/15417 last_m=14031
progress completed=14100/15417 last_m=14126
progress completed=14200/15417 last_m=14227
progress completed=14300/15417 last_m=14328
progress completed=14400/15417 last_m=14429
progress completed=14500/15417 last_m=14529
progress completed=14600/15417 last_m=14633
progress completed=14700/15417 last_m=14730
progress completed=14800/15417 last_m=14831
progress completed=14900/15417 last_m=14935
progress completed=15000/15417 last_m=15029
progress completed=15100/15417 last_m=15128
progress completed=15200/15417 last_m=15226
progress completed=15300/15417 last_m=15327
progress completed=15400/15417 last_m=15431
progress completed=15417/15417 last_m=15446
worst_positive	m	odd_n	frontier_boundary	frontier_rank	active_rows	lower_log10	stable_log10	relative_log10
worst_positive	15447	30897	436	217	1	125316.825861440928	125317.653458045548	-0.827596604620339349
sample	m	odd_n	frontier_boundary	frontier_rank	active_rows	lower_sign	lower_log10	stable_log10	positive_linear_log10	negative_quadratic_log10	uniform_lambda_log10	relative_log10
sample	31	65	30	14	402	1	93.7416179034952393	94.0436732489011149	94.0443552772061793	91.2404064951080898	-0.00136144206145161206	-0.302055345405875642
sample	1572	3147	150	74	280	1	9649.20170069294909	9649.78239530812789	9649.95112390399845	9644.48107756376885	-0.168729593588068383	-0.580694615178799722
sample	3113	6229	206	102	222	1	20938.92615014689	20939.5786286995099	20939.7703040455344	20933.8297479804969	-0.191675666323135374	-0.652478552619868424
sample	4654	9311	248	123	178	1	32920.7162862162586	32921.4124237343276	32921.6158325673314	32915.4001286316561	-0.203408998451777734	-0.696137518069008365
sample	6195	12393	284	141	141	1	45353.9113221795778	45354.6381887214084	45354.8490114921442	45348.4384905957559	-0.210822874592849985	-0.726866541830531787
sample	7736	15475	314	156	110	1	58123.4304663670555	58124.1823962002163	58124.3988051285996	58117.837206389122	-0.216409000786370598	-0.75192983316082973
sample	9277	18557	344	171	80	1	71161.2775549726648	71162.0481996815361	71162.2685313818365	71155.5840263137361	-0.220331754360813648	-0.770644708871259354
sample	10818	21639	368	183	54	1	84422.4296872176492	84423.2182611792086	84423.4421647520503	84416.6534471102932	-0.223903615027666092	-0.788573961559450254
sample	12359	24721	394	196	28	1	97874.8530763298913	97875.6551863740315	97875.8816722325719	97869.0031775126117	-0.226485892635537311	-0.802110044140135869
sample	13900	27803	416	207	11	1	111494.566804132453	111495.382124304611	111495.611039782583	111488.653198322994	-0.228915506217163056	-0.815320172157953493
sample	15441	30885	436	217	1	1	125262.947537675253	125263.775052717639	125264.00613492784	125256.977326266919	-0.231082234065979719	-0.827515042386949062
SUMMARY failures=0 worst_m=15447 worst_odd_n=30897 worst_frontier_boundary=436 worst_frontier_rank=217 worst_relative_log10=-0.827596604620339349 worst_lower_log10=125316.825861440928 min_uniform_lambda_m=15447 min_uniform_lambda_odd_n=30897 min_uniform_lambda_frontier_boundary=436 min_uniform_lambda_rank=217 min_uniform_lambda_log10=-0.231096486008027568
