TIGHT_OMEGA_PACKED_CERT max_m=8 partitions=43820 threads=32
progress m=1 r=1 processed=1/1 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=1 r=1 merged_local_states=3/3 elapsed=0.00s
LEVEL m=1 r=1 states=3 total_paths=3 max_fiber=1 elapsed=0.00s
RESULT m=1 states=3 total_paths=3 max_omega=1 pow2=2 passes_pow2=yes
BEST m=1 partition=3,1 strips=(1,3);(2,1)
progress m=2 r=1 processed=1/1 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=0/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
merge m=2 r=1 merged_local_states=3/3 elapsed=0.00s
LEVEL m=2 r=1 states=3 total_paths=3 max_fiber=1 elapsed=0.00s
progress m=2 r=2 processed=1/3 elapsed=0.00s
