COMMAND: ./post_m29_bc_ninth_frontier_gmp
BC_NINTH_FRONTIER_GMP b_cases=4 c_arithmetic_cases=2 omp_max_threads=32
B_CASE q=15 j=39 width_wall=30 terminal_shapes=97
B_REVERSE_STEP q=15 after_removing_to=38 states=466
B_REVERSE_STEP q=15 after_removing_to=34 states=3418
B_REVERSE_STEP q=15 after_removing_to=29 states=7088
B_REVERSE_STEP q=15 after_removing_to=24 states=9677
B_REVERSE_STEP q=15 after_removing_to=19 states=6441
B_REVERSE_STEP q=15 after_removing_to=14 states=2801
B_REVERSE_STEP q=15 after_removing_to=9 states=385
B_REVERSE_STEP q=15 after_removing_to=4 states=22
B_REVERSE_STEP q=15 after_removing_to=1 states=2
B_REVERSE_STEP q=15 after_removing_to=0 states=1
B_BAD_COUNT q=15 j=39 value=81596655286601105266416444390197
B_STABLE q=15 j=39 value=1430766394626124941747614908786890170708000608
B_MARGIN q=15 j=39 stable_minus_2bad=1430766394625961748437041706576357337819220214
B_CASE q=16 j=41 width_wall=32 terminal_shapes=97
B_REVERSE_STEP q=16 after_removing_to=40 states=466
B_REVERSE_STEP q=16 after_removing_to=39 states=1229
B_REVERSE_STEP q=16 after_removing_to=34 states=4886
B_REVERSE_STEP q=16 after_removing_to=29 states=8555
B_REVERSE_STEP q=16 after_removing_to=24 states=9972
B_REVERSE_STEP q=16 after_removing_to=19 states=6441
B_REVERSE_STEP q=16 after_removing_to=14 states=2801
B_REVERSE_STEP q=16 after_removing_to=9 states=385
B_REVERSE_STEP q=16 after_removing_to=4 states=22
B_REVERSE_STEP q=16 after_removing_to=1 states=2
B_REVERSE_STEP q=16 after_removing_to=0 states=1
B_BAD_COUNT q=16 j=41 value=1926342911785452502271099095125800
B_STABLE q=16 j=41 value=2288839508814965177355229388141425796637053845120
B_MARGIN q=16 j=41 stable_minus_2bad=2288839508814961324669405817236421254438863593520
B_CASE q=17 j=43 width_wall=34 terminal_shapes=97
B_REVERSE_STEP q=17 after_removing_to=42 states=466
B_REVERSE_STEP q=17 after_removing_to=39 states=2684
B_REVERSE_STEP q=17 after_removing_to=34 states=6354
B_REVERSE_STEP q=17 after_removing_to=29 states=10011
B_REVERSE_STEP q=17 after_removing_to=24 states=10073
B_REVERSE_STEP q=17 after_removing_to=19 states=6441
B_REVERSE_STEP q=17 after_removing_to=14 states=2801
B_REVERSE_STEP q=17 after_removing_to=9 states=385
B_REVERSE_STEP q=17 after_removing_to=4 states=22
B_REVERSE_STEP q=17 after_removing_to=1 states=2
B_REVERSE_STEP q=17 after_removing_to=0 states=1
B_BAD_COUNT q=17 j=43 value=43077718528836304303270590063965610
B_STABLE q=17 j=43 value=4036896628145342057070126060721585763334726294617376
B_MARGIN q=17 j=43 stable_minus_2bad=4036896628145341970914689003048977156793546166686156
B_CASE q=18 j=45 width_wall=36 terminal_shapes=97
B_REVERSE_STEP q=18 after_removing_to=44 states=466
B_REVERSE_STEP q=18 after_removing_to=39 states=4152
B_REVERSE_STEP q=18 after_removing_to=34 states=7822
B_REVERSE_STEP q=18 after_removing_to=29 states=11411
B_REVERSE_STEP q=18 after_removing_to=24 states=10103
B_REVERSE_STEP q=18 after_removing_to=19 states=6441
B_REVERSE_STEP q=18 after_removing_to=14 states=2801
B_REVERSE_STEP q=18 after_removing_to=9 states=385
B_REVERSE_STEP q=18 after_removing_to=4 states=22
B_REVERSE_STEP q=18 after_removing_to=1 states=2
B_REVERSE_STEP q=18 after_removing_to=0 states=1
B_BAD_COUNT q=18 j=45 value=917849214459918430646886583313786946
B_STABLE q=18 j=45 value=7814348742732519468596839625600373590814268649053732672
B_MARGIN q=18 j=45 stable_minus_2bad=7814348742732519466761141196680536729520495482426158780
C_PAUSE_POLYNOMIAL q=21 j=51 value=805149937982464
C_BOUND q=21 j=51 value=150108394793413011965813378969917030181217645083525956763648
C_STABLE q=21 j=51 value=95209341861812270694970940293687229429604538500118345745751601600
C_MARGIN q=21 j=51 stable_minus_bound=95209191753417477281958974480308259512574357282473262219794837952
C_PAUSE_POLYNOMIAL q=22 j=53 value=1171869936268288
C_BOUND q=22 j=53 value=26653920103162041990889079689445737088138480868555815764623360
C_STABLE q=22 j=53 value=257420799961522256421436833308684466480005539199244118835748097796224
C_MARGIN q=22 j=53 stable_minus_bound=257420773307602153259394842419604777034268451060763250279932333172864
SUMMARY failures=0
__EXIT_STATUS=0
