COMMAND: ./post_m29_bc_eleventh_frontier_gmp
BC_ELEVENTH_FRONTIER_GMP b_cases=7 c_arithmetic_cases=7 omp_max_threads=32
B_CASE q=15 j=41 width_wall=30 terminal_shapes=195
B_REVERSE_STEP q=15 after_removing_to=40 states=1084
B_REVERSE_STEP q=15 after_removing_to=39 states=2966
B_REVERSE_STEP q=15 after_removing_to=34 states=12720
B_REVERSE_STEP q=15 after_removing_to=29 states=22474
B_REVERSE_STEP q=15 after_removing_to=24 states=22238
B_REVERSE_STEP q=15 after_removing_to=19 states=12551
B_REVERSE_STEP q=15 after_removing_to=14 states=3620
B_REVERSE_STEP q=15 after_removing_to=9 states=385
B_REVERSE_STEP q=15 after_removing_to=4 states=22
B_REVERSE_STEP q=15 after_removing_to=1 states=2
B_REVERSE_STEP q=15 after_removing_to=0 states=1
B_BAD_COUNT q=15 j=41 value=917406516916434909318039084336626480
B_STABLE q=15 j=41 value=2288839508814965177355229388141425796637053845120
B_MARGIN q=15 j=41 stable_minus_2bad=2288839508813130364321396518322789718468380592160
B_CASE q=16 j=43 width_wall=32 terminal_shapes=195
B_REVERSE_STEP q=16 after_removing_to=42 states=1084
B_REVERSE_STEP q=16 after_removing_to=39 states=6820
B_REVERSE_STEP q=16 after_removing_to=34 states=16654
B_REVERSE_STEP q=16 after_removing_to=29 states=26128
B_REVERSE_STEP q=16 after_removing_to=24 states=22339
B_REVERSE_STEP q=16 after_removing_to=19 states=12551
B_REVERSE_STEP q=16 after_removing_to=14 states=3620
B_REVERSE_STEP q=16 after_removing_to=9 states=385
B_REVERSE_STEP q=16 after_removing_to=4 states=22
B_REVERSE_STEP q=16 after_removing_to=1 states=2
B_REVERSE_STEP q=16 after_removing_to=0 states=1
B_BAD_COUNT q=16 j=43 value=26369959387638196716572586608961318825
B_STABLE q=16 j=43 value=4036896628145342057070126060721585763334726294617376
B_MARGIN q=16 j=43 stable_minus_2bad=4036896628145289317151350784328152618161508371979726
B_CASE q=17 j=45 width_wall=34 terminal_shapes=195
B_REVERSE_STEP q=17 after_removing_to=44 states=1084
B_REVERSE_STEP q=17 after_removing_to=39 states=10753
B_REVERSE_STEP q=17 after_removing_to=34 states=20588
B_REVERSE_STEP q=17 after_removing_to=29 states=29157
B_REVERSE_STEP q=17 after_removing_to=24 states=22369
B_REVERSE_STEP q=17 after_removing_to=19 states=12551
B_REVERSE_STEP q=17 after_removing_to=14 states=3620
B_REVERSE_STEP q=17 after_removing_to=9 states=385
B_REVERSE_STEP q=17 after_removing_to=4 states=22
B_REVERSE_STEP q=17 after_removing_to=1 states=2
B_REVERSE_STEP q=17 after_removing_to=0 states=1
B_BAD_COUNT q=17 j=45 value=710983441612846257292453314350422789848
B_STABLE q=17 j=45 value=7814348742732519468596839625600373590814268649053732672
B_MARGIN q=17 j=45 stable_minus_2bad=7814348742732518046629956399907859005907639948208152976
B_CASE q=18 j=47 width_wall=36 terminal_shapes=195
B_REVERSE_STEP q=18 after_removing_to=46 states=1084
B_REVERSE_STEP q=18 after_removing_to=44 states=4865
B_REVERSE_STEP q=18 after_removing_to=39 states=14687
B_REVERSE_STEP q=18 after_removing_to=34 states=24521
B_REVERSE_STEP q=18 after_removing_to=29 states=30997
B_REVERSE_STEP q=18 after_removing_to=24 states=22376
B_REVERSE_STEP q=18 after_removing_to=19 states=12551
B_REVERSE_STEP q=18 after_removing_to=14 states=3620
B_REVERSE_STEP q=18 after_removing_to=9 states=385
B_REVERSE_STEP q=18 after_removing_to=4 states=22
B_REVERSE_STEP q=18 after_removing_to=1 states=2
B_REVERSE_STEP q=18 after_removing_to=0 states=1
B_BAD_COUNT q=18 j=47 value=18104254770555721644360125274088694749197
B_STABLE q=18 j=47 value=16533071956148091642947922297690070411307024124831146817472
B_MARGIN q=18 j=47 stable_minus_2bad=16533071956148091606739412756578627122586773576653757319078
B_CASE q=19 j=49 width_wall=38 terminal_shapes=195
B_REVERSE_STEP q=19 after_removing_to=48 states=1084
B_REVERSE_STEP q=19 after_removing_to=44 states=8786
B_REVERSE_STEP q=19 after_removing_to=39 states=18621
B_REVERSE_STEP q=19 after_removing_to=34 states=28443
B_REVERSE_STEP q=19 after_removing_to=29 states=31778
B_REVERSE_STEP q=19 after_removing_to=24 states=22377
B_REVERSE_STEP q=19 after_removing_to=19 states=12551
B_REVERSE_STEP q=19 after_removing_to=14 states=3620
B_REVERSE_STEP q=19 after_removing_to=9 states=385
B_REVERSE_STEP q=19 after_removing_to=4 states=22
B_REVERSE_STEP q=19 after_removing_to=1 states=2
B_REVERSE_STEP q=19 after_removing_to=0 states=1
B_BAD_COUNT q=19 j=49 value=437907984655019292950173937746451968524840
B_STABLE q=19 j=49 value=38087788784726914579541399563220400055471379188311812594406912
B_MARGIN q=19 j=49 stable_minus_2bad=38087788784726914578665583593910361469571031312818908657357232
B_CASE q=20 j=51 width_wall=40 terminal_shapes=195
B_REVERSE_STEP q=20 after_removing_to=50 states=1084
B_REVERSE_STEP q=20 after_removing_to=49 states=2966
B_REVERSE_STEP q=20 after_removing_to=44 states=12720
B_REVERSE_STEP q=20 after_removing_to=39 states=22555
B_REVERSE_STEP q=20 after_removing_to=34 states=32309
B_REVERSE_STEP q=20 after_removing_to=29 states=32073
B_REVERSE_STEP q=20 after_removing_to=24 states=22377
B_REVERSE_STEP q=20 after_removing_to=19 states=12551
B_REVERSE_STEP q=20 after_removing_to=14 states=3620
B_REVERSE_STEP q=20 after_removing_to=9 states=385
B_REVERSE_STEP q=20 after_removing_to=4 states=22
B_REVERSE_STEP q=20 after_removing_to=1 states=2
B_REVERSE_STEP q=20 after_removing_to=0 states=1
B_BAD_COUNT q=20 j=51 value=10111325553336459132478426731966206572544775
B_STABLE q=20 j=51 value=95209341861812270694970940293687229429604538500118345745751601600
B_MARGIN q=20 j=51 stable_minus_2bad=95209341861812270694950717642580556511339581646654413332606512050
B_CASE q=21 j=53 width_wall=42 terminal_shapes=195
B_REVERSE_STEP q=21 after_removing_to=52 states=1084
B_REVERSE_STEP q=21 after_removing_to=49 states=6820
B_REVERSE_STEP q=21 after_removing_to=44 states=16654
B_REVERSE_STEP q=21 after_removing_to=39 states=26489
B_REVERSE_STEP q=21 after_removing_to=34 states=35963
B_REVERSE_STEP q=21 after_removing_to=29 states=32174
B_REVERSE_STEP q=21 after_removing_to=24 states=22377
B_REVERSE_STEP q=21 after_removing_to=19 states=12551
B_REVERSE_STEP q=21 after_removing_to=14 states=3620
B_REVERSE_STEP q=21 after_removing_to=9 states=385
B_REVERSE_STEP q=21 after_removing_to=4 states=22
B_REVERSE_STEP q=21 after_removing_to=1 states=2
B_REVERSE_STEP q=21 after_removing_to=0 states=1
B_BAD_COUNT q=21 j=53 value=223820420460688222608586493645429584684736700
B_STABLE q=21 j=53 value=257420799961522256421436833308684466480005539199244118835748097796224
B_MARGIN q=21 j=53 stable_minus_2bad=257420799961522256421436385667843545103560322026256827976578728322824
C_PAUSE_POLYNOMIAL q=21 j=53 value=324393072099643392
C_BOUND q=21 j=53 value=58102932306378457487310011531019177238594732726370674331608940544
C_STABLE q=21 j=53 value=257420799961522256421436833308684466480005539199244118835748097796224
C_MARGIN q=21 j=53 stable_minus_bound=257362697029215877963949523297153447302766944466517748161416488855680
C_PAUSE_POLYNOMIAL q=22 j=55 value=508584122346582016
C_BOUND q=22 j=55 value=11842063937114706151159449071682001693228411578697861199162211565568
C_STABLE q=22 j=55 value=750570909947066995055424650776515840126350128467470982096962569159820928
C_MARGIN q=22 j=55 stable_minus_bound=750559067883129880349273491327444158124656900055892284235763406948255360
C_PAUSE_POLYNOMIAL q=23 j=57 value=783391012291121152
C_BOUND q=23 j=57 value=2444236512873287793974642498538703700937442717631575450031632032989184
C_STABLE q=23 j=57 value=2353592104550586210415883713512804843110090729070945949968821484337397744128
C_MARGIN q=23 j=57 stable_minus_bound=2353589660314073337128089738870306304406389791628228318393371452705364754944
C_PAUSE_POLYNOMIAL q=24 j=59 value=1187133100402733056
C_BOUND q=24 j=59 value=511138740711243704393377758362380421261320290469168327573796645582667776
C_STABLE q=24 j=59 value=7916863333164200256454983215209254526609310199558104449501306276786388759640448
C_MARGIN q=24 j=59 stable_minus_bound=7916862822025459545211278821831496164228888938237813980332978702989743176972672
C_PAUSE_POLYNOMIAL q=25 j=61 value=1771912890992054272
C_BOUND q=25 j=61 value=108334334320415156552840919054488100474726517493070458260832102933740912640
C_STABLE q=25 j=61 value=28498624571845034398726355851930572188102264622234847765953001676047745973229505280
C_MARGIN q=25 j=61 stable_minus_bound=28498624463510700078311199299089653133614164147508330272882543415215643039488592640
C_PAUSE_POLYNOMIAL q=26 j=63 value=2607774406749368320
C_BOUND q=26 j=63 value=23277855929942469787125369372635046394925532545372366301117967556721267179520
C_STABLE q=26 j=63 value=109541225789834175931658495496403519547416502620151868387334469329758036511863218119936
C_MARGIN q=26 j=63 stable_minus_bound=109541225766556320001716025709278150174781456225226335841962103028640068955141950940416
C_PAUSE_POLYNOMIAL q=27 j=65 value=3787894083819409408
C_BOUND q=27 j=65 value=5071759899154101425023652148789956970370785068988938266775785014446742686400512
C_STABLE q=27 j=65 value=448652128232881537732129952277792373763923626445924353990403553556345456494626112650043392
C_MARGIN q=27 j=65 stable_minus_bound=448652128227809777832975850852768721615133669475553568921414615289569671480179369963642880
SUMMARY failures=0
__EXIT_STATUS=0
