B/C interval stable-envelope bridge frontier GMP verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 chain_lo=31 chain_hi=15447 max_index=30899 lambda=1/2 fixed_frontier=30 central_logconvex_bound=1 onset_log=../certificates/post_m29/bc_interval_formula_mpfr_certificate.log OpenMP threads=4
SIGN_MODEL corrections_delta<=0 active from boundary=2*rank+2; frontier lower bound uses |delta_j|<=lambda*s_j with a separable positive-linear majorant and a log-convex central penalty majorant
stable_moments_start max_index=30899
stable_moments_done max_index=30899
normalized_logconvexity_dyadic_audit prefix_bits=192 prefix_certified=30890 exact_fallbacks=0
central_logconvex_bound_audit_done first_index=9 last_index=30898 crosscheck_max_n=128
algebraic_reduction_crosscheck_done max_n=128
progress completed=100/15417 last_m=167
progress completed=200/15417 last_m=245
progress completed=300/15417 last_m=340
progress completed=400/15417 last_m=435
progress completed=500/15417 last_m=473
progress completed=600/15417 last_m=514
progress completed=700/15417 last_m=647
progress completed=800/15417 last_m=869
progress completed=900/15417 last_m=885
progress completed=1000/15417 last_m=903
progress completed=1100/15417 last_m=1117
progress completed=1200/15417 last_m=1209
progress completed=1300/15417 last_m=1396
progress completed=1400/15417 last_m=1363
progress completed=1500/15417 last_m=1533
progress completed=1600/15417 last_m=1662
progress completed=1700/15417 last_m=1722
progress completed=1800/15417 last_m=1847
progress completed=1900/15417 last_m=1965
progress completed=2000/15417 last_m=2090
progress completed=2100/15417 last_m=2208
progress completed=2200/15417 last_m=2196
progress completed=2300/15417 last_m=2259
progress completed=2400/15417 last_m=2383
progress completed=2500/15417 last_m=2600
progress completed=2600/15417 last_m=2679
progress completed=2700/15417 last_m=2741
progress completed=2800/15417 last_m=2868
progress completed=2900/15417 last_m=2839
progress completed=3000/15417 last_m=2973
progress completed=3100/15417 last_m=3081
progress completed=3200/15417 last_m=3214
progress completed=3300/15417 last_m=3276
progress completed=3400/15417 last_m=3348
progress completed=3500/15417 last_m=3564
progress completed=3600/15417 last_m=3544
progress completed=3700/15417 last_m=3760
progress completed=3800/15417 last_m=3828
progress completed=3900/15417 last_m=3966
progress completed=4000/15417 last_m=3993
progress completed=4100/15417 last_m=4210
progress completed=4200/15417 last_m=4121
progress completed=4300/15417 last_m=4453
progress completed=4400/15417 last_m=4365
progress completed=4500/15417 last_m=4504
progress completed=4600/15417 last_m=4657
progress completed=4700/15417 last_m=4684
progress completed=4800/15417 last_m=4853
progress completed=4900/15417 last_m=5025
