SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 tasks=1 workers=1 start=1
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 progress=0/1 assigned=1 failed=0
SU2_SEVEN_SHALLOW_SMALL_TASK_Z3 tasks=1 counterexamples=UNSAT result=PASS
