scope,family,rank,representative,stable_through,finite_first_degree,finite_last_degree,tail_onset,maximum_moment_consumed,finite_pairs,tail_method,finite_supplier,tail_supplier
fixed,A,1,SU(2),2,5,27,29,27,78,exact Haar/moment cap,SU2 exact recurrence,Part III fixed-group cap tail
fixed,A,2,SU(3),3,5,27,29,54,78,exact Haar/moment cap,SU3 hook-length/GMP,Part III fixed-group cap tail
fixed,A,3,SU(4),4,5,25,27,94,66,exact Haar/moment cap,SU4 hook-length/GMP,Part III fixed-group cap tail
fixed,A,4,SU(5),5,7,35,37,96,135,exact Haar/moment cap,SU5 hook-length/GMP,Part III fixed-group cap tail
fixed,A,5,SU(6),6,7,25,27,32,65,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,6,SU(7),7,9,27,29,32,75,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,7,SU(8),8,9,27,29,32,75,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,8,SU(9),9,11,29,31,32,85,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,9,SU(10),10,11,29,31,32,85,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,10,SU(11),11,13,29,31,32,81,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,11,SU(12),12,13,29,31,32,81,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,12,SU(13),13,15,29,31,32,76,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,13,SU(14),14,15,29,31,32,76,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,14,SU(15),15,17,29,31,32,70,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,15,SU(16),16,17,29,31,32,70,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,16,SU(17),17,19,29,31,32,63,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,17,SU(18),18,19,29,31,32,63,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,18,SU(19),19,21,29,31,32,55,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,19,SU(20),20,21,29,31,32,55,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,20,SU(21),21,23,29,31,32,46,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,21,SU(22),22,23,29,31,32,46,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,22,SU(23),23,25,29,31,32,36,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,23,SU(24),24,25,29,31,32,36,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
fixed,A,24,SU(25),25,27,29,31,32,25,uniform Paley--Zygmund cap,SUN_GE6 exact Schur--Weyl/GMP,Part III uniform type-A tail
